episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
1,-84.43,290,1,100,11,29,290,70.3405818939209
2,-89.28,290,1,100,15,32,290,143.40548133850098
3,-92.71000000000001,290,1,100,11,28,290,217.35386300086975
4,-88.19,313,1,100,56,29,313,295.0278797149658
9,-53.93999999999999,448,2,100,23,33,448,863.6835422515869
10,-87.96999999999998,290,1,100,11,17,448,1012.5567824840546
20,-81.35,448,2,100,40,35,448,2400.9640476703644
30,-91.71000000000005,290,1,100,11,29,448,3809.888275384903
40,-86.21999999999998,290,1,100,11,22,448,5352.753141641617
45,-103.07,448,2,100,15,22,448,6108.084220409393
50,-91.81999999999998,290,1,100,11,19,448,6906.6947276592255
55,-55.760000000000026,448,2,100,17,31,448,7682.924004793167
60,-91.31999999999998,290,1,100,15,19,448,8476.646082878113
65,-76.04999999999998,448,2,100,18,33,448,9233.064796686172
69,-87.28000000000002,448,2,100,34,40,448,9804.685502529144
70,-87.32,290,1,100,11,33,448,9942.061285734177
76,-74.32000000000004,448,2,100,87,30,448,10780.10735487938
77,-82.13999999999999,448,2,100,37,29,448,10927.773128271103
80,-90.47999999999999,290,1,100,12,28,448,11351.356171607971
87,-82.29000000000003,448,2,100,71,36,448,12396.290613651276
90,-87.74999999999999,290,1,100,11,22,448,12840.354154109955
91,-52.91000000000001,448,2,100,57,22,448,12981.730464935303
