episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
1,-55.77000000000003,448,2,100,96,43,448,112.96864557266235
2,-81.87000000000002,448,2,100,42,43,448,240.23053455352783
3,-85.46,448,2,100,46,43,448,369.71952629089355
5,-77.83000000000003,448,2,100,50,42,448,625.9067153930664
6,-85.02000000000002,448,2,100,45,41,448,758.1996500492096
8,-90.24000000000002,448,2,100,28,36,448,1017.6224904060364
10,-102.34,290,1,100,50,40,448,1236.4193794727325
14,-77.73,448,2,100,49,34,448,1753.671442747116
17,-97.36000000000001,448,2,100,13,50,448,2148.594873189926
20,-114.06999999999996,290,1,100,11,32,448,2520.2154438495636
21,-84.78000000000002,448,2,100,17,41,448,2630.455190896988
26,-89.28000000000003,448,2,100,49,44,448,3229.4096484184265
27,-77.44,448,2,100,82,36,448,3360.0925347805023
29,-93.89,448,2,100,20,47,448,3625.078372001648
30,-76.17,448,2,100,66,46,448,3754.4211258888245
31,-91.84,448,2,100,17,42,448,3892.862990140915
32,-81.56000000000002,448,2,100,72,35,448,4038.171054840088
34,-83.71000000000004,448,2,100,86,43,448,4325.833533287048
36,-65.89,448,2,100,57,50,448,4595.007817268372
39,-99.94000000000001,448,2,100,29,48,448,4930.460582017899
40,-68.12,290,1,100,100,34,448,5074.349533557892
41,-82.23999999999998,448,2,100,53,34,448,5217.697367668152
43,-103.81999999999998,448,2,100,26,36,448,5476.59450006485
45,-78.07999999999998,448,2,100,61,31,448,5768.643884181976
47,-91.4,448,2,100,30,37,448,6061.177129268646
48,-74.75999999999999,448,2,100,100,38,448,6206.021228551865
50,-114.24999999999994,448,2,100,14,32,448,6491.211902856827
55,-85.58,448,2,100,76,40,448,7163.4184646606445
56,-85.52999999999999,448,2,100,85,39,448,7306.63968205452
57,-96.02000000000001,448,2,100,50,41,448,7429.695682287216
60,-85.92999999999999,313,1,100,73,37,448,7820.941228628159
61,-87.86,448,2,100,100,38,448,7961.776185750961
62,-89.92999999999999,448,2,100,65,37,448,8108.656654119492
63,-94.74,448,2,100,30,42,448,8260.62224650383
64,-76.43999999999998,448,2,100,83,45,448,8408.22859120369
70,-66.20000000000003,290,1,100,100,35,448,9211.437193393707
71,-86.56,448,2,100,28,41,448,9342.188065767288
72,-81.14000000000001,448,2,100,91,37,448,9473.360894441605
73,-95.2,448,2,100,59,40,448,9603.475291013718
75,-87.73,448,2,100,65,44,448,9857.464376449585
78,-105.82999999999998,448,2,100,14,39,448,10244.056227445602
79,-73.83,448,2,100,81,34,448,10377.579488754272
80,-72.32000000000001,290,1,100,90,34,448,10515.097391366959
81,-79.41000000000003,448,2,100,84,44,448,10657.562727451324
82,-69.97999999999999,448,2,100,64,39,448,10801.99506020546
86,-72.30000000000001,448,2,100,94,41,448,11373.152780056
87,-83.46999999999998,448,2,100,44,39,448,11509.234229564667
89,-100.97000000000001,448,2,100,14,39,448,11769.906364440918
90,-65.17,290,1,100,96,33,448,11901.078833818436
93,-73.94,448,2,100,71,38,448,12168.26985502243
94,-95.69000000000001,448,2,100,16,41,448,12269.888049840927
98,-72.06999999999998,448,2,100,64,36,448,12752.67055439949
