episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
1,-85.66999999999997,313,1,100,23,24,313,76.21337914466858
2,-81.66,313,1,100,38,33,313,141.32622146606445
4,-95.08000000000003,313,1,100,16,29,313,268.1507377624512
5,-110.28000000000002,313,1,100,64,23,313,344.6458818912506
6,-92.56999999999996,313,1,100,14,27,313,451.0429766178131
7,-103.36000000000003,313,1,100,13,25,313,556.4214527606964
8,-94.53999999999999,313,1,100,37,35,313,673.5251026153564
9,-86.99000000000002,313,1,100,21,24,313,837.25230884552
10,-94.07000000000001,313,1,100,46,36,313,956.1583592891693
11,-94.25000000000001,313,1,100,35,28,313,1058.6008713245392
13,-109.02,313,1,100,28,27,313,1266.3906211853027
14,-94.21,313,1,100,19,35,313,1380.504715681076
15,-81.61999999999999,313,1,100,13,23,313,1518.0074071884155
16,-88.15999999999997,313,1,100,11,14,313,1671.4998607635498
17,-86.58999999999997,313,1,100,38,21,313,1802.5581381320953
18,-83.13000000000002,448,2,100,84,28,448,1917.7985246181488
20,-88.57000000000001,313,1,100,59,25,448,2153.063138961792
23,-83.43,448,2,100,89,34,448,2525.597268342972
30,-108.94000000000001,313,1,100,56,30,448,3350.7727286815643
40,-80.6,448,2,100,39,33,448,4558.6628241539
50,-132.91,97,1,100,5,9,448,5852.928245067596
60,-110.4,313,1,100,43,15,448,7147.389334440231
70,-125.79,97,1,100,5,13,448,8424.625711917877
80,-90.3,313,1,100,38,32,448,9759.869059085846
90,-96.96,313,1,100,49,26,448,10942.34550356865
