episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
10,-50.0,-298,0,100,0,0,0,208.60998106002808
20,-50.0,-298,0,100,0,0,0,517.0013332366943
30,-50.0,-298,0,100,0,0,0,752.9614458084106
40,-50.0,-298,0,100,0,0,0,984.3015716075897
50,-50.0,-298,0,100,0,0,0,1230.7617268562317
58,-14.0,62,1,100,78,0,62,1413.2528936862946
60,-50.0,-298,0,100,0,0,62,1472.270801782608
70,-50.0,-298,0,100,0,0,62,1671.9390947818756
80,-50.0,-298,0,100,0,0,62,1933.676989555359
81,-14.0,62,1,100,99,0,62,1959.5234682559967
82,-14.0,62,1,100,5,0,62,1997.3705019950867
83,-14.0,62,1,100,7,0,62,2031.7960813045502
85,-14.0,62,1,100,83,0,62,2073.9403891563416
86,-14.0,62,1,100,15,0,62,2109.041422367096
90,-50.0,-298,0,100,0,0,62,2189.4510383605957
93,-14.0,62,1,100,36,0,62,2253.4967279434204
95,-14.0,62,1,100,39,0,62,2294.2324283123016
96,-14.0,62,1,100,56,0,62,2324.930116891861
100,-50.0,-298,0,100,0,0,62,2441.9125039577484
104,-14.0,62,1,100,31,0,62,2566.893756389618
110,-50.0,-298,0,100,0,0,62,2714.4436485767365
111,-14.0,62,1,100,21,0,62,2735.3786153793335
112,-14.0,62,1,100,29,0,62,2762.556248188019
116,-14.0,62,1,100,79,0,62,2858.552623271942
120,-50.0,-298,0,100,0,0,62,2932.866537809372
122,-14.0,62,1,100,48,0,62,3008.702483177185
126,-14.0,62,1,100,8,0,62,3143.3205428123474
127,-14.0,62,1,100,25,0,62,3169.124646425247
128,-14.0,62,1,100,53,0,62,3198.7522962093353
130,-14.0,62,1,100,76,0,62,3257.216770887375
131,-14.0,62,1,100,75,0,62,3292.2269196510315
132,-14.0,62,1,100,72,0,62,3336.243071079254
134,-14.0,62,1,100,36,0,62,3400.0736038684845
135,-14.0,62,1,100,44,0,62,3432.3045678138733
136,-14.0,62,1,100,55,0,62,3459.217155456543
138,-14.0,62,1,100,5,0,62,3494.9920539855957
140,-14.0,62,1,100,9,0,62,3564.6418256759644
143,-14.0,62,1,100,5,0,62,3641.1116378307343
144,-14.0,62,1,100,9,0,62,3660.807634830475
145,-14.0,62,1,100,9,0,62,3705.4492704868317
146,-14.0,62,1,100,25,0,62,3738.202096939087
147,-14.0,62,1,100,37,0,62,3777.650064468384
148,-14.0,62,1,100,31,0,62,3824.1909902095795
149,-14.0,62,1,100,41,0,62,3864.928622484207
150,-14.0,62,1,100,17,0,62,3907.2996492385864
151,-14.0,62,1,100,61,0,62,3945.5029146671295
152,-14.0,62,1,100,37,0,62,3985.2419304847717
153,-14.0,62,1,100,56,0,62,4029.4334588050842
154,-14.0,62,1,100,20,0,62,4062.47275185585
155,-14.0,62,1,100,16,0,62,4107.647280216217
156,-14.0,62,1,100,5,0,62,4149.064976930618
157,-14.0,62,1,100,13,0,62,4193.108334779739
158,22.0,422,2,100,55,0,422,4227.589613437653
160,-14.0,62,1,100,59,0,422,4281.481411457062
170,-14.0,62,1,100,12,0,422,4591.224678516388
180,-14.0,62,1,100,10,0,422,4937.949155807495
190,-14.0,62,1,100,7,0,422,5255.578538656235
200,-14.0,62,1,100,11,0,422,5637.264746427536
210,-14.0,62,1,100,48,0,422,5997.542498826981
220,-14.0,62,1,100,9,0,422,6371.870077848434
230,-14.0,62,1,100,9,0,422,6745.480278015137
240,-14.0,62,1,100,7,0,422,7126.744567394257
250,-14.0,62,1,100,6,0,422,7474.57736325264
260,-14.0,62,1,100,10,0,422,7839.003468513489
