timesteps,episode,ep_rew_mean,ep_len_mean,loss,exploration_rate,time_seconds
1000,10,,,,0.05095000000000016,463.500200510025
2000,20,,,0.00015072073438204825,0.05,741.483261346817
3000,30,,,0.0006148340180516243,0.05,1069.8965270519257
4000,40,,,0.001348280580714345,0.05,1370.3065493106842
5000,50,,,0.0014423736138269305,0.05,1695.3746464252472
6000,60,,,0.0006966219516471028,0.05,2061.005871772766
7000,70,,,0.5590571761131287,0.05,2486.733676671982
8000,80,,,0.002559332177042961,0.05,2971.2019662857056
9000,90,,,0.0037619099020957947,0.05,3520.1164116859436
10000,100,,,0.5556763410568237,0.05,4036.8447568416595
11000,110,,,0.0061006550677120686,0.05,4597.281301736832
12000,120,,,0.0046753715723752975,0.05,5108.978438138962
13000,130,,,0.010983061976730824,0.05,5710.028472661972
14000,140,,,0.009711068123579025,0.05,6325.249198913574
15000,150,,,0.01630929671227932,0.05,6950.653030633926
16000,160,,,0.0038003933150321245,0.05,7569.063992261887
17000,170,,,0.0023824269883334637,0.05,8143.196484565735
18000,180,,,0.002532161772251129,0.05,8660.846688747406
19000,190,,,0.5559731125831604,0.05,9171.49484038353
20000,200,,,1.1115522384643555,0.05,9613.4358792305
21000,210,,,0.003580664750188589,0.05,10225.033771276474
22000,220,,,0.017983682453632355,0.05,10835.491041183472
23000,230,,,0.002283264184370637,0.05,11523.37167263031
24000,240,,,0.5349698066711426,0.05,12225.24141550064
25000,250,,,0.00358687830157578,0.05,12897.786106586456
26000,260,,,0.0031504228245466948,0.05,13586.167906284332
27000,270,,,0.5713942050933838,0.05,14288.429963111877
28000,280,,,0.009100088849663734,0.05,14937.754994392395
29000,290,,,0.5568556189537048,0.05,15634.349981069565
30000,300,,,0.547497034072876,0.05,16302.976120710373
31000,310,,,0.0013846888905391097,0.05,16975.034106254578
32000,320,,,0.5536861419677734,0.05,17721.379740953445
33000,330,,,0.004555341321974993,0.05,18496.658305883408
34000,340,,,0.004544944502413273,0.05,19264.48448228836
35000,350,,,0.0017779947957023978,0.05,20059.737138986588
36000,360,,,0.006690572947263718,0.05,20756.33783507347
37000,370,,,0.5567575693130493,0.05,21291.84103345871
38000,380,,,0.0022023299243301153,0.05,21982.022866010666
39000,390,,,0.001656851265579462,0.05,22680.449226379395
40000,400,,,0.5561055541038513,0.05,23389.69793534279
41000,410,,,1.1063334941864014,0.05,24115.942264556885
42000,420,,,1.1054438352584839,0.05,24891.260492801666
43000,430,,,0.0010448452085256577,0.05,25631.473022699356
44000,440,,,1.1041303873062134,0.05,26420.73703765869
45000,450,,,0.552557110786438,0.05,27149.580478668213
46000,460,,,0.0025543086230754852,0.05,27825.162891626358
47000,470,,,0.002051916904747486,0.05,28615.358075618744
48000,480,,,0.5530369281768799,0.05,29394.16191983223
49000,490,,,0.5541426539421082,0.05,30160.860456466675
50000,500,,,0.5535478591918945,0.05,30839.439074754715
51000,510,,,0.002680040430277586,0.05,31605.843455791473
52000,520,,,0.0016929707489907742,0.05,32365.472208738327
53000,530,,,0.0018375153886154294,0.05,33082.931560754776
54000,540,,,0.5537654757499695,0.05,33725.05747509003
55000,550,,,0.0026507701259106398,0.05,34359.698822021484
56000,560,,,0.0012758586090058088,0.05,35138.03800821304
57000,570,,,0.5530484914779663,0.05,36120.96944975853
58000,580,,,0.0010146104032173753,0.05,37167.785014629364
59000,590,,,0.5527254939079285,0.05,38132.18982100487
60000,600,,,0.001419753534719348,0.05,39226.81501555443
61000,610,,,0.003041560761630535,0.05,40305.34444952011
62000,620,,,0.005187582690268755,0.05,41300.521022319794
63000,630,,,0.5533931255340576,0.05,42244.570519685745
64000,640,,,0.0018215912859886885,0.05,43101.60132145882
65000,650,,,0.5514038801193237,0.05,44196.07272529602
66000,660,,,0.002118365839123726,0.05,45248.243475914
67000,670,,,0.5540555715560913,0.05,46230.781860113144
68000,680,,,0.0010908744297921658,0.05,47242.36703538895
69000,690,,,1.1002836227416992,0.05,48317.81124448776
