timesteps,episode,ep_rew_mean,ep_len_mean,value_loss,policy_gradient_loss,approx_kl,entropy_loss,explained_variance,time_seconds
1000,10,,,31.160918045043946,-0.007465036236681044,0.0014315075,-2.2850203037261965,-0.014827370643615723,444.83389115333557
2000,20,,,25.844294261932372,-0.003382582706399262,0.00024406379,-2.2414244651794433,-0.09375119209289551,982.3765609264374
3000,30,,,21.405795097351074,-0.008423652220517396,0.0014030873,-2.2439785957336427,0.014522194862365723,1341.6397399902344
4000,40,,,63.15147514343262,-0.027418709779158234,0.014611072,-2.2169158935546873,0.0016937851905822754,1677.8071887493134
5000,50,,,14.86108832359314,-0.004324460728093981,0.0007662694,-2.1847277760505674,0.014782130718231201,2004.2987957000732
6000,60,,,14.348540496826171,-0.008957177260890603,0.002495118,-2.167206585407257,-0.017254114151000977,2360.025258541107
7000,70,,,60.268002319335935,-0.021916332002729178,0.019378891,-1.9619517385959626,0.02203124761581421,2732.301771879196
8000,80,,,65.08612308502197,-0.011413695313967765,0.004736205,-1.8342427372932435,-0.033687472343444824,3153.771990299225
9000,90,,,74.6098180770874,-0.0035956522915512323,0.0017661438,-1.5291116178035735,-0.1032027006149292,3660.42440867424
10000,100,,,59.660029602050784,-0.014577836310490967,0.013490155,-1.6111856043338775,0.08567476272583008,4210.984666109085
11000,110,,,49.970722103118895,-0.006621573027223349,0.0047126557,-1.3265432000160218,-0.003954529762268066,4779.34192943573
12000,120,,,54.72587890625,-0.009536101203411817,0.007285922,-1.2686647474765778,3.8743019104003906e-05,5403.38171339035
13000,130,,,118.99795532226562,-0.0048093550838530065,0.0031450368,-1.0479985475540161,0.044609129428863525,6003.952617406845
14000,140,,,59.64563961029053,-0.009184109233319759,0.0032667206,-0.8771499693393707,0.06465023756027222,6684.583129167557
15000,150,,,54.3772689819336,-0.005642709229141474,0.004373703,-0.9016251862049103,0.09510838985443115,7312.283997774124
16000,160,,,98.26175041198731,-0.0020652801729738714,0.00047932053,-0.7709852188825608,0.049109816551208496,7934.704128980637
17000,170,,,60.319895553588864,-0.010916622774675488,0.011833518,-0.9220901668071747,0.034150123596191406,8537.56114578247
18000,180,,,107.53018836975097,-0.005352714844048023,0.0020591067,-1.0582622766494751,0.12733668088912964,9113.522735357285
19000,190,,,57.00206985473633,-0.011207829136401415,0.00722535,-0.8044183254241943,0.16818583011627197,9692.063749313354
20000,200,,,56.025414085388185,-0.0031662705820053815,0.0010986971,-0.7787477016448975,-0.12392783164978027,10434.4222843647
21000,210,,,49.07492723464966,-0.004939809371717274,0.0033893222,-0.886230218410492,0.1660575270652771,11350.486104726791
22000,220,,,48.722668170928955,-0.005347113916650414,0.0032124082,-0.7346060782670975,0.3341275453567505,12366.578657627106
23000,230,,,45.816231918334964,-0.00547326011583209,0.002787469,-0.7672108083963394,0.2917192578315735,13291.564753770828
24000,240,,,64.3106149673462,-0.005177083658054471,0.002990997,-0.8275948971509933,0.4306246042251587,14178.649008274078
25000,250,,,38.43919429779053,-0.0024964779149740934,0.0017441162,-1.0072180479764938,0.09834623336791992,15035.926944732666
26000,260,,,35.32176575660706,-0.00773230753839016,0.010025218,-1.1395337104797363,0.07465571165084839,15795.064383029938
27000,270,,,47.773628616333006,-0.015048213303089142,0.018154789,-0.9918996125459671,0.05523800849914551,16486.391498327255
28000,280,,,41.78109936714172,-0.008286458579823375,0.005482047,-0.9750259220600128,0.0350460410118103,17163.751932621002
29000,290,,,72.14468936920166,-0.00019524977542459965,0.002504115,-0.8370681226253509,0.11573302745819092,17947.1470785141
30000,300,,,39.880984210968016,-0.004426899272948504,0.012609566,-0.8781100273132324,0.08842748403549194,18656.947600364685
31000,310,,,33.647558259963986,-0.0019386609317734837,0.001998568,-1.0634425163269043,0.12071573734283447,19324.39657473564
32000,320,,,35.65402348041535,-0.003932971763424576,0.005127129,-0.7789236038923264,0.0952865481376648,20015.972400426865
33000,330,,,41.62156229019165,-0.010070047981571406,0.008148307,-0.7542144566774368,0.03936237096786499,20722.535261392593
34000,340,,,197.44847869873047,-0.008300695847719908,0.004451841,-0.7890424579381943,0.22842973470687866,21497.559528827667
35000,350,,,36.279942417144774,-0.00433487519621849,0.0073434627,-0.7685258358716964,0.09488707780838013,22226.905344724655
36000,360,,,136.1107147216797,-0.0014286540914326905,0.0009848,-0.48571245521306994,0.05519634485244751,22921.17803645134
