timesteps,episode,ep_rew_mean,ep_len_mean,loss,exploration_rate,time_seconds
1000,10,,,,0.5254750000000001,457.0328016281128
2000,20,,,,0.05047500000000027,739.0176122188568
3000,30,,,,0.05,1008.3820555210114
4000,40,,,,0.05,1294.5247461795807
5000,50,,,,0.05,1575.0924141407013
6000,60,,,,0.05,1876.4387729167938
7000,70,,,,0.05,2166.57906293869
8000,80,,,,0.05,2451.087468624115
9000,90,,,,0.05,2712.72509431839
10000,100,,,,0.05,2968.031840801239
11000,110,,,0.0013236711965873837,0.05,3125.0449516773224
12000,120,,,0.0016058390028774738,0.05,3562.289036512375
13000,130,,,0.002048514084890485,0.05,4002.0027363300323
14000,140,,,0.005430102348327637,0.05,4490.871082305908
15000,150,,,0.00559258321300149,0.05,4997.863460302353
16000,160,,,0.5523830652236938,0.05,5455.044264554977
17000,170,,,0.00767873739823699,0.05,5906.631329298019
18000,180,,,0.5570315718650818,0.05,6383.416745185852
19000,190,,,0.00620446028187871,0.05,6865.6495933532715
20000,200,,,0.009892124682664871,0.05,7320.804445028305
21000,210,,,0.5596523880958557,0.05,7794.595412969589
22000,220,,,0.006555641535669565,0.05,8272.041504621506
23000,230,,,0.006905853748321533,0.05,8740.297604322433
24000,240,,,1.1177536249160767,0.05,9300.32614326477
25000,250,,,0.01605306565761566,0.05,10086.480216264725
26000,260,,,0.020178377628326416,0.05,10845.385367393494
27000,270,,,0.5710785388946533,0.05,11520.231146335602
28000,280,,,0.5550684332847595,0.05,12285.749595403671
29000,290,,,0.017417073249816895,0.05,13057.604860305786
30000,300,,,0.010657808743417263,0.05,13800.188131570816
31000,310,,,0.01943342201411724,0.05,14511.7259349823
32000,320,,,0.026335500180721283,0.05,15205.311210155487
33000,330,,,0.5858334302902222,0.05,15892.089517831802
34000,340,,,0.014218108728528023,0.05,16531.3297727108
35000,350,,,0.021055331453680992,0.05,17243.325105905533
36000,360,,,0.021544843912124634,0.05,17939.869802474976
37000,370,,,0.013428429141640663,0.05,18691.83567214012
38000,380,,,0.01631246507167816,0.05,19415.138199806213
39000,390,,,0.5658084750175476,0.05,20123.504293441772
40000,400,,,0.006530016660690308,0.05,20726.462598323822
41000,410,,,0.014863133430480957,0.05,21368.178728103638
42000,420,,,0.5595541596412659,0.05,21985.514055252075
43000,430,,,1.118955135345459,0.05,22566.65676522255
44000,440,,,0.029416538774967194,0.05,23145.895201921463
45000,450,,,0.5616742372512817,0.05,23767.04142642021
46000,460,,,0.5647861957550049,0.05,24410.58296108246
47000,470,,,0.018089191988110542,0.05,25012.784680604935
48000,480,,,1.1259373426437378,0.05,25605.09905910492
49000,490,,,0.5621963739395142,0.05,26183.00893330574
50000,500,,,1.1187001466751099,0.05,26782.526190519333
51000,510,,,1.1203874349594116,0.05,27382.992964982986
52000,520,,,0.015106153674423695,0.05,28004.715250253677
53000,530,,,0.010115372017025948,0.05,28611.153249502182
54000,540,,,0.016775725409388542,0.05,29299.887457609177
55000,550,,,0.5598516464233398,0.05,30008.63747239113
56000,560,,,0.012254712171852589,0.05,30682.099889278412
57000,570,,,1.1160342693328857,0.05,31345.79470348358
58000,580,,,0.5577647686004639,0.05,32062.14506983757
59000,590,,,0.5471003651618958,0.05,32673.311691999435
60000,600,,,0.010968482121825218,0.05,33362.376551389694
61000,610,,,0.020754434168338776,0.05,33911.04871869087
62000,620,,,0.010695777833461761,0.05,34522.64190649986
63000,630,,,0.0064569017849862576,0.05,35395.117439985275
64000,640,,,0.019712217152118683,0.05,36240.791046619415
65000,650,,,0.01356718223541975,0.05,37137.204308986664
66000,660,,,0.5647895932197571,0.05,38025.95805978775
67000,670,,,0.009006799198687077,0.05,38876.331084012985
68000,680,,,0.5748941898345947,0.05,39871.03888130188
69000,690,,,0.02274225279688835,0.05,40819.378163576126
70000,700,,,0.02274199202656746,0.05,41821.36677527428
71000,710,,,0.5674623250961304,0.05,42783.521069049835
72000,720,,,0.012681004591286182,0.05,43750.25013422966
73000,730,,,0.5668016076087952,0.05,44766.701971530914
74000,740,,,0.017128562554717064,0.05,45759.205015182495
75000,750,,,0.009729535318911076,0.05,46832.47211289406
76000,760,,,0.5646654367446899,0.05,47853.4582657814
77000,770,,,0.011057917028665543,0.05,48968.8104121685
78000,780,,,1.6939890384674072,0.05,50081.153030872345
79000,790,,,0.557183027267456,0.05,51094.974427223206
80000,800,,,1.6603436470031738,0.05,52099.065809965134
81000,810,,,1.0965251922607422,0.05,53017.59993648529
82000,820,,,0.00346922455355525,0.05,53896.55932474136
83000,830,,,0.010057203471660614,0.05,54820.20288205147
84000,840,,,0.007865496911108494,0.05,55778.225292921066
85000,850,,,1.1087735891342163,0.05,56702.21144652367
86000,860,,,0.007479080930352211,0.05,57520.29835367203
87000,870,,,0.0055486359633505344,0.05,58521.64767098427
88000,880,,,1.1102731227874756,0.05,59388.52422142029
89000,890,,,0.008616788312792778,0.05,60284.864515304565
90000,900,,,1.1144919395446777,0.05,61235.620207071304
91000,910,,,2.2103381156921387,0.05,62209.18783092499
92000,920,,,0.5601373314857483,0.05,63144.81925678253
93000,930,,,0.5669350624084473,0.05,64127.83820748329
94000,940,,,0.5605183839797974,0.05,65033.16468882561
95000,950,,,1.1213735342025757,0.05,65895.1197655201
96000,960,,,0.5593453049659729,0.05,66735.17590904236
97000,970,,,0.00974716991186142,0.05,67649.13269352913
98000,980,,,0.5601518154144287,0.05,68423.66675305367
99000,990,,,0.5620104670524597,0.05,69382.98948335648
100000,1000,,,1.101454257965088,0.05,70363.6198952198
101000,1010,,,0.007964815944433212,0.05,71214.24266338348
102000,1020,,,0.5539546608924866,0.05,72062.2646791935
103000,1030,,,0.5566307902336121,0.05,73066.64140701294
104000,1040,,,0.5534006953239441,0.05,74081.21110153198
105000,1050,,,0.5614480376243591,0.05,75147.15119433403
106000,1060,,,0.5526309609413147,0.05,76064.49124622345
107000,1070,,,0.5650426149368286,0.05,77010.3267583847
108000,1080,,,1.6527135372161865,0.05,77712.6829032898
109000,1090,,,0.005780002102255821,0.05,78672.62072992325
110000,1100,,,0.013779648579657078,0.05,79598.46953463554
111000,1110,,,1.1115957498550415,0.05,80542.5996875763
112000,1120,,,0.5559847950935364,0.05,81385.59606409073
113000,1130,,,0.013839754275977612,0.05,82248.8627064228
114000,1140,,,0.5641611814498901,0.05,83199.4753665924
115000,1150,,,0.008666510693728924,0.05,84157.58078432083
116000,1160,,,1.113142967224121,0.05,85129.9204697609
117000,1170,,,0.5582589507102966,0.05,86076.81532788277
118000,1180,,,0.5599319934844971,0.05,87026.78422951698
119000,1190,,,1.1098964214324951,0.05,87942.52761363983
120000,1200,,,1.659376859664917,0.05,88832.74441552162
121000,1210,,,0.5560653209686279,0.05,89828.34251618385
122000,1220,,,1.664381742477417,0.05,90814.61655259132
123000,1230,,,1.1062991619110107,0.05,91810.32539343834
124000,1240,,,0.005587864201515913,0.05,92663.06889820099
125000,1250,,,1.1189279556274414,0.05,93605.44458389282
126000,1260,,,0.5586526989936829,0.05,94673.80281162262
127000,1270,,,0.5574342608451843,0.05,95709.24233031273
128000,1280,,,0.00721115292981267,0.05,96678.01748371124
129000,1290,,,0.03213009610772133,0.05,97801.38216042519
130000,1300,,,0.5561776161193848,0.05,98930.92714452744
131000,1310,,,0.5511600375175476,0.05,99882.23375988007
132000,1320,,,0.00721094710752368,0.05,100942.77090787888
133000,1330,,,0.5602635145187378,0.05,102242.90653133392
134000,1340,,,1.1405792236328125,0.05,103601.01020979881
135000,1350,,,0.0041911425068974495,0.05,104624.21196341515
136000,1360,,,0.008208118379116058,0.05,105562.75412774086
137000,1370,,,0.5602319240570068,0.05,106604.99085211754
138000,1380,,,1.6624304056167603,0.05,107555.7872273922
139000,1390,,,0.5580840706825256,0.05,108643.02164840698
140000,1400,,,0.006748847663402557,0.05,109617.1658308506
141000,1410,,,1.1158287525177002,0.05,110454.6800775528
142000,1420,,,0.0050360350869596004,0.05,111354.9193649292
143000,1430,,,0.03326449170708656,0.05,112460.75662994385
144000,1440,,,0.5539438128471375,0.05,113430.73841762543
145000,1450,,,0.004944878630340099,0.05,114494.19307303429
146000,1460,,,1.661581039428711,0.05,115445.71263766289
147000,1470,,,0.5563040375709534,0.05,116411.66747403145
148000,1480,,,0.004788131918758154,0.05,117440.5318710804
149000,1490,,,1.1075936555862427,0.05,118403.51986646652
150000,1500,,,0.009416401386260986,0.05,119368.50654411316
151000,1510,,,0.0072741080075502396,0.05,120322.20600605011
152000,1520,,,1.1047029495239258,0.05,121386.22085762024
153000,1530,,,1.1101233959197998,0.05,122461.60332512856
154000,1540,,,1.133357048034668,0.05,123541.0793557167
155000,1550,,,0.008940496481955051,0.05,124611.45685982704
156000,1560,,,0.004430463071912527,0.05,125558.35136532784
157000,1570,,,0.007283095270395279,0.05,126699.34430074692
158000,1580,,,0.006560684181749821,0.05,127795.59557580948
159000,1590,,,0.5602609515190125,0.05,128854.08278346062
160000,1600,,,0.560896635055542,0.05,129905.96599960327
161000,1610,,,1.661789894104004,0.05,130874.96008563042
162000,1620,,,0.5726179480552673,0.05,131900.1516315937
163000,1630,,,1.1038339138031006,0.05,133035.66108989716
164000,1640,,,0.05866848677396774,0.05,134007.10348963737
165000,1650,,,0.5579591989517212,0.05,135311.8499560356
166000,1660,,,0.5585355758666992,0.05,136333.26129245758
167000,1670,,,0.00449205469340086,0.05,137325.33648085594
168000,1680,,,0.5547016263008118,0.05,138353.35362172127
169000,1690,,,0.5573340058326721,0.05,139321.04090070724
170000,1700,,,0.003837547730654478,0.05,140224.35211753845
171000,1710,,,0.5564508438110352,0.05,141225.2984097004
172000,1720,,,0.5573165416717529,0.05,142104.868111372
173000,1730,,,0.01027663890272379,0.05,142897.46435379982
174000,1740,,,0.5551618933677673,0.05,143815.81787109375
175000,1750,,,0.5602648854255676,0.05,144762.30357909203
176000,1760,,,0.006208393257111311,0.05,145838.66471362114
177000,1770,,,0.5546099543571472,0.05,146770.7794635296
178000,1780,,,0.5599422454833984,0.05,147667.14194059372
179000,1790,,,0.004453491885215044,0.05,148583.09420752525
180000,1800,,,0.0073731024749577045,0.05,149595.80527806282
181000,1810,,,1.6576159000396729,0.05,150520.86116576195
182000,1820,,,0.5597893595695496,0.05,151493.82362771034
183000,1830,,,0.5571778416633606,0.05,152559.29429793358
184000,1840,,,0.0072661591693758965,0.05,153734.05457353592
185000,1850,,,1.1095919609069824,0.05,154846.30444407463
186000,1860,,,0.006069932598620653,0.05,155864.56554198265
187000,1870,,,1.104028582572937,0.05,156910.7290148735
188000,1880,,,0.003043457167223096,0.05,158046.4546134472
189000,1890,,,0.005174349062144756,0.05,159150.70512652397
190000,1900,,,1.1051961183547974,0.05,160192.28747868538
191000,1910,,,0.0022777062840759754,0.05,161132.04741191864
192000,1920,,,1.1029207706451416,0.05,162103.91013383865
193000,1930,,,0.007035813760012388,0.05,162834.4495332241
194000,1940,,,3.319157123565674,0.05,163735.59330558777
195000,1950,,,0.0035447150003165007,0.05,164676.7556335926
196000,1960,,,0.004384973086416721,0.05,165605.94014787674
197000,1970,,,1.1141918897628784,0.05,166633.58204603195
