agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
PPO_straight_punish,PPO,StraightRays,punish,1,1,8,297,-297,-0.45,-0.45
PPO_straight_punish,PPO,StraightRays,punish,1,2,8,151,-151,3.55,3.0999999999999996
PPO_straight_punish,PPO,StraightRays,punish,1,3,2,151,-151,-0.45,2.6499999999999995
PPO_straight_punish,PPO,StraightRays,punish,1,4,9,7,-7,3.55,6.199999999999999
PPO_straight_punish,PPO,StraightRays,punish,1,5,9,263,97,3.55,9.75
PPO_straight_punish,PPO,StraightRays,punish,1,6,8,263,97,-0.45,9.3
PPO_straight_punish,PPO,StraightRays,punish,1,7,8,263,97,-0.45,8.850000000000001
PPO_straight_punish,PPO,StraightRays,punish,1,8,2,151,-151,-3.9299999999999997,4.920000000000002
PPO_straight_punish,PPO,StraightRays,punish,1,9,2,151,-151,-0.45,4.4700000000000015
PPO_straight_punish,PPO,StraightRays,punish,1,10,9,7,-7,-0.45,4.020000000000001
PPO_straight_punish,PPO,StraightRays,punish,1,11,9,263,97,3.55,7.570000000000001
PPO_straight_punish,PPO,StraightRays,punish,1,12,8,7,-7,-2.49,5.080000000000001
PPO_straight_punish,PPO,StraightRays,punish,1,13,8,151,-151,-2.94,2.140000000000001
PPO_straight_punish,PPO,StraightRays,punish,1,14,9,7,-7,-0.5,1.640000000000001
PPO_straight_punish,PPO,StraightRays,punish,1,15,9,263,97,3.5,5.140000000000001
PPO_straight_punish,PPO,StraightRays,punish,1,16,8,164,196,7.55,12.690000000000001
PPO_straight_punish,PPO,StraightRays,punish,1,17,8,7,-7,-3.4799999999999995,9.21
PPO_straight_punish,PPO,StraightRays,punish,1,18,8,151,-151,-2.8899999999999997,6.320000000000001
PPO_straight_punish,PPO,StraightRays,punish,1,19,9,7,-7,-0.45,5.870000000000001
PPO_straight_punish,PPO,StraightRays,punish,1,20,9,263,97,-0.45,5.420000000000001
PPO_straight_punish,PPO,StraightRays,punish,1,21,8,164,196,7.5,12.920000000000002
PPO_straight_punish,PPO,StraightRays,punish,1,22,8,7,-7,-3.53,9.390000000000002
PPO_straight_punish,PPO,StraightRays,punish,1,23,8,151,-151,-2.94,6.450000000000003
PPO_straight_punish,PPO,StraightRays,punish,1,24,9,7,-7,-0.5,5.950000000000003
PPO_straight_punish,PPO,StraightRays,punish,1,25,9,263,97,-0.5,5.450000000000003
